time_s,seq,rtt_ms
2.09446,0,94
2.33868,1,138
2.53795,2,137
2.74381,3,143
2.9402,4,140
3.13867,5,138
3.33642,6,136
3.53939,7,139
3.73893,8,138
3.94045,9,140
4.14362,10,143
4.33581,11,135
4.54105,12,141
4.74278,13,142
4.94169,14,141
5.13396,15,133
5.33551,16,135
5.54295,17,142
5.74272,18,142
5.94379,19,143
6.13807,20,138
6.34115,21,141
6.53813,22,138
6.73926,23,139
6.93933,24,139
7.14138,25,141
7.34025,26,140
7.53602,27,136
7.74498,28,144
7.94088,29,140
8.13765,30,137
8.33727,31,137
8.53669,32,136
8.73889,33,138
8.94208,34,142
9.14183,35,141
9.33994,36,139
9.53507,37,135
9.7414,38,141
9.9411,39,141
10.1352,40,135
10.3411,41,141
10.5384,42,138
10.7383,43,138
10.9386,44,138
11.144,45,144
11.3403,46,140
11.5363,47,136
11.7398,48,139
11.9378,49,137
12.1394,50,139
12.3404,51,140
12.5382,52,138
12.7409,53,140
12.9433,54,143
13.139,55,139
13.3436,56,143
13.5426,57,142
13.7366,58,136
13.9404,59,140
14.14,60,140
14.3396,61,139
14.543,62,142
14.7377,63,137
14.9438,64,143
15.1397,65,139
15.3369,66,136
15.5419,67,141
15.7392,68,139
15.9394,69,139
16.1389,70,138
16.3416,71,141
16.534,72,133
16.7415,73,141
16.9431,74,143
17.1406,75,140
17.3401,76,140
17.5367,77,136
17.7389,78,138
17.9353,79,135
18.1383,80,138
18.3375,81,137
18.5408,82,140
18.7371,83,137
18.9427,84,142
19.137,85,136
19.3398,86,139
19.539,87,139
19.7436,88,143
19.9384,89,138
