time_s,seq,rtt_ms
2.02619,0,26
2.3681,1,168
2.57744,2,177
2.78995,3,189
2.99078,4,190
3.24134,5,241
3.43632,6,236
3.57697,7,176
3.78915,8,189
3.9021,9,102
4.10858,10,108
4.30791,11,107
4.51131,12,111
4.71724,13,117
4.91818,14,118
5.11681,15,116
5.31728,16,117
5.51778,17,117
5.7199,18,119
5.92119,19,121
6.12337,20,123
6.32341,21,123
6.52462,22,124
6.72176,23,121
6.92326,24,123
7.12709,25,127
7.32625,26,126
7.53514,27,135
7.72706,28,127
7.9332,29,133
8.13505,30,135
8.33556,31,135
8.53957,32,139
8.74203,33,142
8.9416,34,141
9.14594,35,145
9.34433,36,144
9.54431,37,144
9.74725,38,147
9.94631,39,146
10.1476,40,147
10.3499,41,149
10.5514,42,151
10.7574,43,157
10.9656,44,165
11.1748,45,174
11.3848,46,184
11.5908,47,190
11.8066,48,206
12.0408,49,240
12.237,50,236
12.3756,51,175
12.5493,52,149
12.7073,53,107
12.9057,54,105
13.1077,55,107
13.3132,56,113
13.5145,57,114
13.7164,58,116
13.9162,59,116
14.1201,60,120
14.3238,61,123
14.5177,62,117
14.7202,63,120
14.9174,64,117
15.121,65,121
15.3212,66,121
15.5215,67,121
15.7251,68,125
15.9228,69,122
16.1249,70,124
16.3277,71,127
16.5302,72,130
16.7271,73,127
16.9348,74,134
17.1343,75,134
17.3363,76,136
17.5393,77,139
17.7411,78,141
17.9385,79,138
18.1432,80,143
18.3423,81,142
18.5442,82,144
18.7474,83,147
18.9504,84,150
19.1441,85,144
19.3587,86,158
19.5606,87,160
19.7717,88,171
19.9757,89,175
