time_s,throughput_bps
2.5,2.20403e+06
3,2.24691e+06
3.5,951936
4,2.98445e+06
4.5,2.29837e+06
5,2.28122e+06
5.5,2.29837e+06
6,2.28122e+06
6.5,2.28979e+06
7,2.33267e+06
7.5,2.29837e+06
8,2.30694e+06
8.5,2.3241e+06
9,2.28979e+06
9.5,2.28979e+06
10,2.29837e+06
10.5,2.3241e+06
11,2.31552e+06
11.5,2.29837e+06
12,1.51795e+06
12.5,2.37555e+06
13,2.25549e+06
13.5,2.30694e+06
14,2.28122e+06
14.5,2.29837e+06
15,2.28122e+06
15.5,2.31552e+06
16,2.33267e+06
16.5,2.31552e+06
17,2.3241e+06
17.5,2.31552e+06
18,2.31552e+06
18.5,2.30694e+06
19,2.28122e+06
19.5,2.3241e+06
