time_s,throughput_bps
2.5,6.8928e+06
3,6.9888e+06
3.5,7.1424e+06
4,6.9888e+06
4.5,7.008e+06
5,6.9312e+06
5.5,7.1616e+06
6,6.9504e+06
6.5,7.0848e+06
7,6.9888e+06
7.5,7.104e+06
8,6.9504e+06
8.5,7.1232e+06
9,6.9696e+06
9.5,7.0656e+06
10,6.9504e+06
10.5,7.0848e+06
11,7.0272e+06
11.5,7.008e+06
12,7.0848e+06
12.5,7.0848e+06
13,6.9696e+06
13.5,6.9312e+06
14,6.9888e+06
14.5,6.9888e+06
15,6.9504e+06
15.5,7.0464e+06
16,6.9888e+06
16.5,7.1616e+06
17,6.9696e+06
17.5,7.0848e+06
18,7.0656e+06
18.5,7.0464e+06
19,6.9504e+06
19.5,7.0656e+06
