time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.16115,135072
3,2.25549,276040
3.5,0.806144,326424
4,3.0016,514024
4.5,2.26406,655528
5,2.25549,796496
5.5,2.23834,936392
6,2.23834,1076288
6.5,2.25549,1217256
7,2.24691,1357688
7.5,2.28979,1500800
8,2.24691,1641232
8.5,2.22976,1780592
9,2.23834,1920488
9.5,2.28122,2063064
10,2.21261,2201352
10.5,2.23834,2341248
11,2.22976,2480608
11.5,2.25549,2621576
12,1.43219,2711088
12.5,2.37555,2859560
13,2.27264,3001600
13.5,2.22976,3140960
14,2.23834,3280856
14.5,2.26406,3422360
15,2.24691,3562792
15.5,2.26406,3704296
16,2.24691,3844728
16.5,2.22976,3984088
17,2.24691,4124520
17.5,2.24691,4264952
18,2.23834,4404848
18.5,2.27264,4546888
19,2.25549,4687856
19.5,2.25549,4828824
