time_s,seq,rtt_ms
3.05368,0,1053
3.05379,1,853
3.36691,6,166
3.60942,7,209
3.84347,8,243
4.0472,9,247
4.12778,10,127
4.31392,11,113
4.47769,12,77
4.62095,13,20
4.81387,14,13
5.01181,15,11
5.22277,16,22
5.42328,17,23
5.819,19,18
6.04597,20,45
6.60348,23,3
7.01399,25,13
7.20224,26,2
7.40224,27,2
7.60224,28,2
7.8168,29,16
8.02316,30,23
9.4044,37,4
9.60247,38,2
9.80214,39,2
10.0021,40,2
10.2021,41,2
10.4034,42,3
10.6032,43,3
10.804,44,3
11.0034,45,3
11.2165,46,16
11.4021,47,2
11.6233,48,23
11.8331,49,33
12.0422,50,42
12.2497,51,49
12.6098,53,9
12.8029,54,2
13.0163,55,16
13.4397,57,39
13.6456,58,45
13.8485,59,48
14.0503,60,50
14.2572,61,57
14.452,62,51
14.6603,63,60
14.8693,64,69
15.0702,65,70
15.2711,66,71
15.4715,67,71
15.6766,68,76
15.8794,69,79
16.0835,70,83
16.287,71,87
16.6454,73,45
16.8725,74,72
17.2601,76,60
17.4276,77,27
17.6348,78,34
17.8175,79,17
18.0379,80,37
18.2405,81,40
18.4241,82,24
18.6242,83,24
18.8351,84,35
19.0286,85,28
19.2348,86,34
19.4366,87,36
19.6424,88,42
19.8473,89,47
