distance_m,transport,propModel,logExp,refDist,refLoss,simTime,appStart,pktSize,udpRate,tcpMaxBytes,seed,run,rxBytes,goodput_Mbps,rtt_mean_ms,rtt_p95_ms,rtt_samples
1,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,1,4770576,2.12026,138.711,213,90
5,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,1,4766824,2.11859,136.822,206,90
10,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,1,4444280,1.97524,105.58,227,88
15,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,1,4449304,1.97747,63.0575,120,87
20,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,1,3789624,1.68428,116.269,262,78
25,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,1,2575320,1.14459,70.4861,243,72
30,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,1,2075928,0.922635,25.1622,69,74
1,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,2,4969256,2.20856,144.567,210,90
5,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,2,4793192,2.13031,138.156,226,90
10,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,2,4971400,2.20951,144.878,218,90
15,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,2,4958536,2.20379,127.678,192,90
20,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,2,4917264,2.18545,83.0795,189,88
25,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,2,4121744,1.83189,42.9882,85,85
30,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,2,3405208,1.51343,56.6125,183,80
1,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,3,4961216,2.20498,144.978,213,90
5,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,3,4952640,2.20117,147.478,213,90
10,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,3,4942992,2.19689,151.764,213,89
15,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,3,3666440,1.62953,88.2771,191,83
20,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,3,3630864,1.61372,66.2262,128,84
25,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,3,2812608,1.25005,37.0959,90,73
30,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,3,1348040,0.599129,58.4706,122,34
1,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,4,4968720,2.20832,144.811,215,90
5,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,4,4971936,2.20975,144.978,215,90
10,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,4,4961216,2.20498,142.322,210,90
15,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,4,4521784,2.00968,123.494,197,89
20,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,4,4390912,1.95152,64.759,104,83
25,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,4,3419136,1.51962,143.658,251,73
30,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,4,3534920,1.57108,87.4865,100,74
1,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,5,4969792,2.2088,144.6,215,90
5,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,5,4966576,2.20737,145.089,223,90
10,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,5,4940312,2.19569,119.367,222,90
15,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,5,4466264,1.98501,100.102,197,88
20,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,5,4200320,1.86681,56.6,97,85
25,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,5,3413784,1.51724,45.7662,83,77
30,tcp,logdistance,3,1,46.6777,20,2,1200,0,0,1,5,2296760,1.02078,65.7313,91,67
