time_s,seq,rtt_ms
2.04377,0,43
3.07099,5,70
3.34472,6,144
3.54771,7,147
3.74669,8,146
3.95199,9,151
4.14742,10,147
4.39851,11,198
5.28684,16,86
5.56871,17,168
5.85746,19,57
6.07712,20,77
6.35127,21,151
6.54862,22,148
6.74954,23,149
6.94675,24,146
7.15477,25,154
7.35108,26,151
7.55911,27,159
7.74729,28,147
7.94861,29,148
8.16363,30,163
8.80306,33,203
9.10058,35,100
9.35114,36,151
9.54418,37,144
9.74883,38,148
9.95069,39,150
10.1498,40,149
10.3447,41,144
10.5513,42,151
10.7501,43,150
10.9481,44,148
11.1558,45,155
11.3492,46,149
11.5523,47,152
11.7465,48,146
11.9451,49,145
12.1754,50,175
12.3539,51,153
12.5474,52,147
12.963,54,163
13.1536,55,153
13.3498,56,149
13.5462,57,146
13.7494,58,149
13.9459,59,145
14.1495,60,149
14.349,61,149
14.5517,62,151
14.751,63,151
14.9502,64,150
15.1472,65,147
15.3529,66,152
15.5502,67,150
15.7486,68,148
15.9512,69,151
16.1553,70,155
16.3714,71,171
16.7841,73,184
17.2145,75,214
17.3773,76,177
17.5482,77,148
17.7531,78,153
17.9613,79,161
18.1817,80,181
18.3563,81,156
18.5493,82,149
18.75,83,149
18.9502,84,150
19.1484,85,148
19.3489,86,148
19.5453,87,145
19.7512,88,151
19.9439,89,143
