time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.4896,405600
3,6.5664,816000
3.5,6.624,1230000
4,6.5472,1639200
4.5,6.6048,2052000
5,6.624,2466000
5.5,6.624,2880000
6,6.5664,3290400
6.5,6.5856,3702000
7,6.6432,4117200
7.5,6.6432,4532400
8,6.4896,4938000
8.5,6.624,5352000
9,6.624,5766000
9.5,6.624,6180000
10,6.5472,6589200
10.5,6.6432,7004400
11,6.624,7418400
11.5,6.6624,7834800
12,6.6624,8251200
12.5,6.5856,8662800
13,6.6048,9075600
13.5,6.6816,9493200
14,6.5472,9902400
14.5,6.5856,10314000
15,6.5472,10723200
15.5,6.6624,11139600
16,6.528,11547600
16.5,6.7008,11966400
17,6.6432,12381600
17.5,6.5664,12792000
18,6.624,13206000
18.5,6.5472,13615200
19,6.624,14029200
19.5,6.624,14443200
