distance_m,transport,propModel,logExp,refDist,refLoss,simTime,appStart,pktSize,udpRate,tcpMaxBytes,seed,run,rxBytes,goodput_Mbps,rtt_mean_ms,rtt_p95_ms,rtt_samples
1,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,1,14812800,6.58347,145.856,151,90
5,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,1,14809200,6.58187,146.122,151,90
10,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,1,14815200,6.58453,147.333,154,90
15,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,1,14787600,6.57227,149.988,154,86
20,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,1,14785200,6.5712,151.329,175,82
25,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,1,14335200,6.3712,235.766,220,64
30,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,1,12655200,5.62453,176.763,663,59
1,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,2,14847600,6.59893,145.367,151,90
5,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,2,14853600,6.6016,145.622,151,90
10,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,2,14866800,6.60747,145.811,152,90
15,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,2,14860800,6.6048,147.478,158,90
20,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,2,14866800,6.60747,174.713,180,87
25,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,2,14643600,6.50827,150.713,189,80
30,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,2,14499600,6.44427,152.528,196,72
1,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,3,14804400,6.57973,146.033,152,90
5,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,3,14805600,6.58027,146.056,152,90
10,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,3,14818800,6.58613,146.5,152,88
15,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,3,14829600,6.59093,148,158,80
20,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,3,14088000,6.26133,144.838,155,74
25,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,3,13525200,6.0112,145.522,172,69
30,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,3,3298800,1.46613,150.214,171,14
1,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,4,14852400,6.60107,145.433,150,90
5,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,4,14853600,6.6016,145.456,150,90
10,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,4,14859600,6.60427,147.705,164,88
15,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,4,14702400,6.5344,170.647,169,85
20,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,4,14293200,6.35253,144.691,157,81
25,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,4,13502400,6.00107,210.187,176,75
30,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,4,13362000,5.93867,179.886,188,70
1,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,5,14840400,6.59573,145.633,151,90
5,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,5,14850000,6.6,145.667,151,90
10,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,5,14864400,6.6064,145.789,151,90
15,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,5,14839200,6.5952,147.807,160,88
20,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,5,14299200,6.3552,143.383,193,81
25,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,5,14134800,6.28213,147.947,184,75
30,udp,logdistance,3,1,46.6777,20,2,1200,10Mbps,0,1,5,11775600,5.2336,153.345,179,58
