time_s,seq,rtt_ms
1.017034,0,17.000
1.500266,1,0.000
2.000208,2,0.000
2.547790,3,47.000
3.043663,4,43.000
3.544659,5,44.000
4.049013,6,49.000
4.548585,7,48.000
5.045007,8,45.000
5.553414,9,53.000
6.043989,10,43.000
6.543548,11,43.000
7.056325,12,56.000
7.542693,13,42.000
8.041450,14,41.000
8.549806,15,49.000
9.045869,16,45.000
9.549118,17,49.000
10.053038,18,53.000
10.543154,19,43.000
11.046370,20,46.000
11.541217,21,41.000
12.044597,22,44.000
12.548411,23,48.000
13.043131,24,43.000
13.542049,25,42.000
14.041068,26,41.000
14.544465,27,44.000
15.048097,28,48.000
15.543493,29,43.000
16.047215,30,47.000
16.542062,31,42.000
17.045988,32,45.000
17.542812,33,42.000
18.042689,34,42.000
18.542124,35,42.000
19.042168,36,42.000
19.541853,37,41.000
