time_s,throughput_bps
2.500,96748800.000
3.000,108364800.000
3.500,108230400.000
4.000,108364800.000
4.500,108038400.000
5.000,106944000.000
5.500,108748800.000
6.000,108825600.000
6.500,108768000.000
7.000,108825600.000
7.500,108825600.000
8.000,108998400.000
8.500,108825600.000
9.000,107596800.000
9.500,108864000.000
10.000,108806400.000
10.500,108902400.000
11.000,108921600.000
11.500,108998400.000
12.000,108864000.000
12.500,108806400.000
13.000,108902400.000
13.500,108902400.000
14.000,108844800.000
14.500,108940800.000
15.000,108864000.000
15.500,108748800.000
16.000,108902400.000
16.500,108825600.000
17.000,108883200.000
17.500,107424000.000
18.000,108633600.000
18.500,108806400.000
19.000,108729600.000
19.500,108729600.000
20.000,108825600.000
