time_s,seq,rtt_ms
1.022071,0,22.000
1.500323,1,0.000
2.000326,2,0.000
2.873809,3,373.000
3.374834,4,374.000
3.870459,5,370.000
4.371573,6,371.000
4.872734,7,372.000
5.369297,8,369.000
5.875819,9,375.000
6.372418,10,372.000
6.868937,11,368.000
7.380561,12,380.000
7.871788,13,371.000
8.384240,14,384.000
8.885569,15,385.000
9.377076,16,377.000
9.873009,17,373.000
10.385371,18,385.000
10.871467,19,371.000
11.382650,20,382.000
11.873833,21,373.000
12.370313,22,370.000
12.866858,23,366.000
13.378904,24,378.000
13.870529,25,370.000
14.372778,26,372.000
14.868711,27,368.000
15.380245,28,380.000
15.871563,29,371.000
16.372975,30,372.000
16.868861,31,368.000
17.371255,32,371.000
17.867674,33,367.000
18.380026,34,380.000
18.881142,35,381.000
19.377651,36,377.000
19.869095,37,369.000
