time_s,throughput_bps
2.500,255859200.000
3.000,255782400.000
3.500,255993600.000
4.000,254956800.000
4.500,254534400.000
5.000,256089600.000
5.500,254764800.000
6.000,256339200.000
6.500,256492800.000
7.000,256070400.000
7.500,255072000.000
8.000,255398400.000
8.500,255571200.000
9.000,256800000.000
9.500,255840000.000
10.000,255820800.000
10.500,255859200.000
11.000,255590400.000
11.500,255360000.000
12.000,256243200.000
12.500,255571200.000
13.000,255091200.000
13.500,255782400.000
14.000,255801600.000
14.500,255571200.000
15.000,255052800.000
15.500,254534400.000
16.000,255475200.000
16.500,255916800.000
17.000,255744000.000
17.500,256204800.000
18.000,254553600.000
18.500,256032000.000
19.000,256128000.000
19.500,256128000.000
20.000,255628800.000
