transport,nSta,run,seed,effectiveDistance,txPowerDbm,rateManager,udpRatePerSta,pktSize,appStart,simTime,sumGoodputbps,jain
udp,2,1,1,10.000,20.00,ns3::MinstrelHtWifiManager,10Mbps,1200,3.000,20.000,19990588.235,1.000000
udp,5,2,1,10.000,20.00,ns3::MinstrelHtWifiManager,10Mbps,1200,3.000,20.000,43091011.765,0.997598
udp,10,3,1,10.000,20.00,ns3::MinstrelHtWifiManager,10Mbps,1200,3.000,20.000,39710117.647,0.822121
tcp,2,4,1,10.000,20.00,ns3::MinstrelHtWifiManager,10Mbps,1200,3.000,20.000,31777520.941,0.996076
tcp,5,5,1,10.000,20.00,ns3::MinstrelHtWifiManager,10Mbps,1200,3.000,20.000,31306857.412,0.959864
tcp,10,6,1,10.000,20.00,ns3::MinstrelHtWifiManager,10Mbps,1200,3.000,20.000,30402733.176,0.949647
udp,2,1,1,10.000,1200,10Mbps,0,3.000,20.000,19990588.235,9995294.118,1.000000
udp,5,2,1,10.000,1200,10Mbps,0,3.000,20.000,43091011.765,8618202.353,0.997598
udp,10,3,1,10.000,1200,10Mbps,0,3.000,20.000,39710117.647,3971011.765,0.822121
tcp,2,4,1,10.000,1200,10Mbps,0,3.000,20.000,31777520.941,15888760.471,0.996076
tcp,5,5,1,10.000,1200,10Mbps,0,3.000,20.000,31306857.412,6261371.482,0.959864
tcp,10,6,1,10.000,1200,10Mbps,0,3.000,20.000,30402733.176,3040273.318,0.949647
udp,2,1,1,10.000,1200,10Mbps,0,3.000,20.000,19990588.235,9995294.118,1.000000
udp,5,2,1,10.000,1200,10Mbps,0,3.000,20.000,43091011.765,8618202.353,0.997598
udp,10,3,1,10.000,1200,10Mbps,0,3.000,20.000,39710117.647,3971011.765,0.822121
tcp,2,4,1,10.000,1200,10Mbps,0,3.000,20.000,31777520.941,15888760.471,0.996076
tcp,5,5,1,10.000,1200,10Mbps,0,3.000,20.000,31306857.412,6261371.482,0.959864
tcp,10,6,1,10.000,1200,10Mbps,0,3.000,20.000,30402733.176,3040273.318,0.949647
