time_s,throughput_bps,sumRxBytes
3.000000,0.000,0
3.500000,29511168.000,1844448
4.000000,27691008.000,3575136
4.500000,32897280.000,5631216
5.000000,31705472.000,7612808
5.500000,32134272.000,9621200
6.000000,32443008.000,11648888
6.500000,31813888.000,13637256
7.000000,31876992.000,15629568
7.500000,31825536.000,17618664
8.000000,31748352.000,19602936
8.500000,31911296.000,21597392
9.000000,31585408.000,23571480
9.500000,31954176.000,25568616
10.000000,31834112.000,27558248
10.500000,32014208.000,29559136
11.000000,32503040.000,31590576
11.500000,31688320.000,33571096
12.000000,32091392.000,35576808
12.500000,31945600.000,37573408
13.000000,31516800.000,39543208
13.500000,31962752.000,41540880
14.000000,32365824.000,43563744
14.500000,32005632.000,45564096
15.000000,31876992.000,47556408
15.500000,31842688.000,49546576
16.000000,31748352.000,51530848
16.500000,32374400.000,53554248
17.000000,32117120.000,55561568
17.500000,31885568.000,57554416
18.000000,31611136.000,59530112
18.500000,31499648.000,61498840
19.000000,32039936.000,63501336
19.500000,32425856.000,65527952
