time_s,throughput_bps,sumRxBytes
3.000000,0.000,0
3.500000,19680000.000,1230000
4.000000,20006400.000,2480400
4.500000,20006400.000,3730800
5.000000,19987200.000,4980000
5.500000,20006400.000,6230400
6.000000,19987200.000,7479600
6.500000,20025600.000,8731200
7.000000,19968000.000,9979200
7.500000,20025600.000,11230800
8.000000,19987200.000,12480000
8.500000,20006400.000,13730400
9.000000,19987200.000,14979600
9.500000,20006400.000,16230000
10.000000,20006400.000,17480400
10.500000,19987200.000,18729600
11.000000,20006400.000,19980000
11.500000,19968000.000,21228000
12.000000,20044800.000,22480800
12.500000,19987200.000,23730000
13.000000,20006400.000,24980400
13.500000,19987200.000,26229600
14.000000,20025600.000,27481200
14.500000,19987200.000,28730400
15.000000,20006400.000,29980800
15.500000,19987200.000,31230000
16.000000,19948800.000,32476800
16.500000,20064000.000,33730800
17.000000,19987200.000,34980000
17.500000,20006400.000,36230400
18.000000,19987200.000,37479600
18.500000,20006400.000,38730000
19.000000,20025600.000,39981600
19.500000,19968000.000,41229600
