time_s rtt_ms
6.606220 1006.220283
6.606244 806.243622
6.606276 606.276443
6.800366 0.366368
7.000226 0.225620
7.200702 0.702428
7.400236 0.236287
7.601404 1.404104
7.800259 0.259225
8.000237 0.237199
8.200570 0.569604
8.402471 2.471075
8.600240 0.240015
8.801638 1.637568
9.000271 0.271023
9.200353 0.352776
9.400226 0.226239
9.601363 1.362909
9.800931 0.930502
10.000239 0.238507
10.200254 0.254077
10.400252 0.251896
10.611619 11.618578
10.800328 0.327585
11.001717 1.716523
11.200701 0.701148
11.400345 0.344575
11.600257 0.256613
11.802483 2.482695
12.000619 0.618519
12.200257 0.256881
12.400487 0.487357
12.601899 1.899451
12.800303 0.302868
13.005592 5.592337
13.200488 0.487647
13.400450 0.449819
13.601220 1.219532
13.804057 4.057225
14.001450 1.449952
14.203372 3.371608
14.411678 11.677861
14.604384 4.384375
14.812082 12.081659
15.212843 12.843157
15.409088 9.088092
15.627256 27.255996
15.800869 0.868803
16.004545 4.544560
16.200852 0.852316
16.408956 8.956113
16.620438 20.438161
16.806083 6.082569
17.001183 1.182514
17.203669 3.668916
17.412728 12.727691
17.605547 5.547093
17.832648 32.648180
