time_s,event,bssid
0.000000,INIT,00:00:00:00:00:01
0.150000,ROAM,00:00:00:00:00:02
0.000000,INIT,00:00:00:00:00:01
0.150000,ROAM,00:00:00:00:00:02
0.000000,INIT,00:00:00:00:00:01
0.150000,ROAM,00:00:00:00:00:02
0.000000,INIT,00:00:00:00:00:01
0.150000,ROAM,00:00:00:00:00:02
0.000000,INIT,00:00:00:00:00:01
0.150000,ROAM,00:00:00:00:00:02
0.000000,INIT,00:00:00:00:00:01
0.150000,ROAM,00:00:00:00:00:02
0.000000,INIT,00:00:00:00:00:01
0.150000,ROAM,00:00:00:00:00:02
0.000000,INIT,00:00:00:00:00:01
0.150000,ROAM,00:00:00:00:00:02
0.000000,INIT,00:00:00:00:00:01
0.150000,ROAM,00:00:00:00:00:02
0.000000,INIT,00:00:00:00:00:01
0.150000,ROAM,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
22.450000,ROAM,00:00:00:00:00:03
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
29.300000,ROAM,00:00:00:00:00:03
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
17.750000,ROAM,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
23.700000,ROAM,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:01
15.100000,ROAM,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:01
1.000000,INIT,00:00:00:00:00:01
23.700000,ROAM,00:00:00:00:00:02
1.000000,INIT,00:00:00:00:00:01
15.100000,ROAM,00:00:00:00:00:02
