time_s,throughput_bps
2.000000,0.000000
2.500000,19680000.000000
3.000000,20006400.000000
3.500000,19987200.000000
4.000000,20006400.000000
4.500000,20006400.000000
5.000000,19987200.000000
5.500000,20006400.000000
6.000000,20006400.000000
6.500000,19987200.000000
7.000000,20006400.000000
7.500000,20006400.000000
8.000000,19987200.000000
8.500000,20006400.000000
9.000000,20006400.000000
9.500000,19987200.000000
10.000000,20006400.000000
10.500000,20006400.000000
11.000000,19987200.000000
11.500000,20006400.000000
12.000000,20006400.000000
12.500000,19987200.000000
13.000000,20006400.000000
13.500000,20006400.000000
14.000000,19987200.000000
14.500000,20006400.000000
15.000000,20006400.000000
15.500000,19987200.000000
16.000000,20006400.000000
16.500000,20006400.000000
17.000000,19987200.000000
17.500000,20006400.000000
18.000000,20006400.000000
18.500000,19987200.000000
19.000000,20006400.000000
19.500000,20006400.000000
