x,y,associated,offered_mbps,goodput_mbps,avg_rtt_ms,rtt_replies,tx_bytes,rx_bytes,loss_ratio,rssi_est_dbm,snr_est_db,seed,run,standard,transport,rateControl,channelWidth
0.000000,11.000000,1,9.996800,6.572800,146.455682,14,3748800,2464800,0.342510,-57.919481,36.070219,1,14,ax,udp,adaptive,20
0.000000,13.000000,1,9.996800,6.620800,147.161063,14,3748800,2482800,0.337708,-60.096001,33.893699,1,15,ax,udp,adaptive,20
0.000000,15.000000,1,9.996800,6.572800,148.438386,14,3748800,2464800,0.342510,-61.960438,32.029262,1,16,ax,udp,adaptive,20
0.000000,1.000000,1,9.996800,6.544000,147.302094,14,3748800,2454000,0.345391,-26.677700,67.312000,1,9,ax,udp,adaptive,20
0.000000,3.000000,1,9.996800,6.550400,148.117617,14,3748800,2456400,0.344750,-40.991338,52.998362,1,10,ax,udp,adaptive,20
0.000000,5.000000,1,9.996800,6.592000,147.100952,14,3748800,2472000,0.340589,-47.646800,46.342900,1,11,ax,udp,adaptive,20
0.000000,7.000000,1,9.996800,6.572800,147.897448,14,3748800,2464800,0.342510,-52.030641,41.959059,1,12,ax,udp,adaptive,20
0.000000,9.000000,1,9.996800,6.537600,148.670410,14,3748800,2451600,0.346031,-55.304975,38.684725,1,13,ax,udp,adaptive,20
0.000000,-11.000000,1,9.996800,6.579200,145.771605,14,3748800,2467200,0.341869,-57.919481,36.070219,1,3,ax,udp,adaptive,20
0.000000,-13.000000,1,9.996800,6.553600,148.422676,14,3748800,2457600,0.344430,-60.096001,33.893699,1,2,ax,udp,adaptive,20
0.000000,-15.000000,1,9.996800,6.611200,145.028314,14,3748800,2479200,0.338668,-61.960438,32.029262,1,1,ax,udp,adaptive,20
0.000000,-1.000000,1,9.996800,6.544000,147.165621,14,3748800,2454000,0.345391,-26.677700,67.312000,1,8,ax,udp,adaptive,20
0.000000,-3.000000,1,9.996800,6.614400,146.830206,14,3748800,2480400,0.338348,-40.991338,52.998362,1,7,ax,udp,adaptive,20
0.000000,-5.000000,1,9.996800,6.588800,148.213635,14,3748800,2470800,0.340909,-47.646800,46.342900,1,6,ax,udp,adaptive,20
0.000000,-7.000000,1,9.996800,6.540800,150.067654,14,3748800,2452800,0.345711,-52.030641,41.959059,1,5,ax,udp,adaptive,20
0.000000,-9.000000,1,9.996800,6.556800,147.382823,14,3748800,2458800,0.344110,-55.304975,38.684725,1,4,ax,udp,adaptive,20
10.000000,11.000000,1,9.996800,6.566400,148.410914,14,3748800,2462400,0.343150,-61.843584,32.146116,1,94,ax,udp,adaptive,20
10.000000,13.000000,1,9.996800,6.572800,148.138044,14,3748800,2464800,0.342510,-63.123984,30.865716,1,95,ax,udp,adaptive,20
